team,year,attendance,win_pct,avg_ticket_price,playoff,new_stadium,log_attendance,log_price,log_win_pct,is_playoff_caliber
SDN,2013,2166691,0.469,15.99,0,0,14.588711676903921,2.771963526845863,-0.7571525105358577,0
SFN,2013,3369106,0.469,30.09,0,0,15.030157985235967,3.4041928906419536,-0.7571525105358577,0
SEA,2013,1761546,0.438,28.45,0,0,14.381702390529757,3.34814816057234,-0.8255363686056909,0
SLN,2013,3369769,0.599,33.11,1,0,15.030354753985096,3.4998353515591547,-0.5124936808666878,1
TBA,2013,1510300,0.564,20.39,1,0,14.227818864554433,3.015044584586364,-0.5727010274840783,1
TEX,2013,3178273,0.558,22.54,0,0,14.97184852547304,3.11529150861163,-0.583396316600826,1
TOR,2013,2536562,0.457,32.98,0,0,14.74632017882045,3.4959013171314526,-0.7830718880879323,0
WAS,2013,2652422,0.531,35.24,0,0,14.790983742817357,3.562181801067979,-0.6329932577401982,0
ARI,2015,2080145,0.488,17.98,0,0,14.547948160786225,2.8892600290434745,-0.7174398731289899,0
ATL,2015,2001392,0.414,19.14,0,0,14.509353496428545,2.9517803860248084,-0.8818893051568227,0
BAL,2015,2281202,0.5,24.97,0,0,14.640213054995682,3.217675104291682,-0.6931471805599453,0
BOS,2015,2880694,0.481,52.34,0,0,14.873541795305208,3.9577608971019997,-0.731888008876376,0
CHN,2015,2919122,0.599,44.81,1,0,14.88679344409818,3.802431328798052,-0.5124936808666878,1
CHA,2015,1755810,0.469,26.05,0,0,14.378440846867527,3.260017768199376,-0.7571525105358577,0
CIN,2015,2419506,0.395,22.03,0,0,14.699073945063644,3.092405160814252,-0.9288695140810151,0
CLE,2015,1388905,0.503,22.38,0,0,14.14402622486903,3.108167702883779,-0.6871651088823978,0
COL,2015,2506789,0.42,23.65,0,0,14.734513209258566,3.1633631149379418,-0.8675005677047231,0
DET,2015,2726048,0.46,29.01,0,0,14.81836349930076,3.367640598133313,-0.7765287894989963,0
MIA,2015,1752235,0.438,28.96,0,0,14.376402673903616,3.365915567517516,-0.8255363686056909,0
HOU,2015,2153585,0.531,31.82,1,0,14.582644453326566,3.4600950229096408,-0.6329932577401982,1
KCA,2015,2708549,0.586,29.76,1,0,14.811923625110834,3.393165209964891,-0.5344354894051245,1
ANA,2015,3012765,0.525,27.54,0,0,14.918368819717175,3.315639493300509,-0.6443570163905132,0
LAN,2015,3764815,0.568,28.61,1,0,15.141209281222691,3.3537563070620187,-0.5656338602609858,1
MIL,2015,2542558,0.42,26.32,0,0,14.748681218837381,3.2703291064571163,-0.8675005677047231,0
MIN,2015,2220054,0.512,32.59,0,0,14.613042077876955,3.4840054928494704,-0.6694306539426292,0
NYN,2015,2569753,0.556,25.3,1,0,14.759320343303225,3.2308043957334744,-0.5869869847315546,1
NYA,2015,3193795,0.537,51.55,1,0,14.976720422854457,3.942552210462969,-0.6217571844732723,1
OAK,2015,1768175,0.42,24.0,0,0,14.385458499181793,3.1780538303479458,-0.8675005677047231,0
PHI,2015,1831080,0.389,37.42,0,0,14.420416514673782,3.6222053208459437,-0.9441759353636907,0
PIT,2015,2498596,0.605,19.99,1,0,14.731239532082082,2.995232148512309,-0.5025268209512956,1
SDN,2015,2459752,0.457,16.37,0,0,14.715571089818443,2.7954503913830435,-0.7830718880879323,0
SFN,2015,3375882,0.519,33.78,0,0,15.032167181480492,3.519868911379654,-0.6558513958162484,0
SEA,2015,2193581,0.469,31.0,0,0,14.601045926191771,3.4339872044851463,-0.7571525105358577,0
SLN,2015,3520889,0.617,34.2,1,0,15.074224072505357,3.5322256440685598,-0.48288625507674926,1
TBA,2015,1287054,0.494,21.9,0,0,14.067866443740007,3.086486636822455,-0.7052197617942145,0
TEX,2015,2491875,0.543,23.64,1,0,14.728545997117756,3.1629401925378975,-0.6106459590482015,1
TOR,2015,2794891,0.574,25.14,1,0,14.843303665599795,3.2244602031621015,-0.5551258826625707,1
WAS,2015,2619843,0.512,36.02,0,0,14.778624950277663,3.58407433974781,-0.6694306539426292,0
