league,season,team,player,nation,pos,age,NINETIES,Performance_Gls,Performance_Ast,Performance_G+A,Performance_CrdY,Performance_CrdR,Standard_Sh,Standard_SoT,Standard_Sh/90,Standard_SoT/90,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Pass_Cmp,Pass_Att,Pass_CmpPct,Pass_PrgDist,Pass_Ast,Pass_KP,Pass_Final3rd,Pass_PPA,SCA90,GCA90,Touches,Carries,Carry_PrgDist,Carry_Final3rd,Carry_PPA
ENG-Premier League,2425,Bournemouth,Adam Smith,ENG,DF,33,17.7,0,0,0,7,0,3,0,0.17,0.0,19,12,0,33,15,14,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Bournemouth,Alex Scott,ENG,MF,20,8.4,0,0,0,3,0,15,7,1.79,0.83,17,26,0,7,9,13,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Bournemouth,Antoine Semenyo,GHA,MF,24,35.6,11,5,16,9,0,126,41,3.54,1.15,72,37,14,58,9,36,,,,,5,,,,,,,,,,
ENG-Premier League,2425,Bournemouth,Ben Winterburn,ENG,MF,19,0.3,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,2,0,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Bournemouth,Dango Ouattara,BFA,"MF,FW",22,22.3,7,4,11,3,0,62,20,2.78,0.9,16,19,13,88,11,26,,,,,4,,,,,,,,,,
ENG-Premier League,2425,Bournemouth,Daniel Jebbison,CAN,FW,20,1.3,1,0,1,1,0,5,2,3.78,1.51,2,4,0,3,1,3,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Bournemouth,David Brooks,WAL,MF,27,10.7,2,0,2,3,0,25,12,2.34,1.13,11,18,0,51,5,6,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Bournemouth,Dean Huijsen,ESP,DF,19,27.0,3,2,5,10,0,18,4,0.67,0.15,31,10,2,13,48,27,,,,,2,,,,,,,,,,
ENG-Premier League,2425,Bournemouth,Enes Ünal,TUR,FW,27,3.8,2,1,3,2,0,19,7,4.96,1.83,6,9,2,4,0,0,,,,,1,,,,,,,,,,
ENG-Premier League,2425,Bournemouth,Evanilson,BRA,FW,24,25.8,10,1,11,1,1,73,32,2.83,1.24,37,53,20,1,2,9,,,,,1,,,,,,,,,,
ENG-Premier League,2425,Bournemouth,Illia Zabarnyi,UKR,DF,21,34.5,0,1,1,4,1,12,1,0.35,0.03,20,7,0,6,39,35,,,,,1,,,,,,,,,,
ENG-Premier League,2425,Bournemouth,James Hill,ENG,DF,22,5.0,0,1,1,1,0,6,0,1.21,0.0,7,5,0,10,7,8,,,,,1,,,,,,,,,,
ENG-Premier League,2425,Bournemouth,Julian Araujo,MEX,DF,22,5.5,0,0,0,2,0,0,0,0.0,0.0,7,2,1,9,5,5,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Bournemouth,Julio Soler,ARG,DF,19,0.1,0,0,0,0,0,0,0,0.0,0.0,0,1,0,1,0,1,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Bournemouth,Justin Kluivert,NED,MF,25,26.0,12,6,18,8,0,63,29,2.42,1.12,46,33,6,86,13,9,,,,,6,,,,,,,,,,
ENG-Premier League,2425,Bournemouth,Kepa Arrizabalaga,ESP,GK,29,31.0,0,0,0,3,0,1,0,0.03,0.0,2,6,0,0,0,0,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Bournemouth,Lewis Cook,ENG,"MF,DF",27,33.1,1,3,4,8,1,14,4,0.42,0.12,48,10,3,132,45,42,,,,,3,,,,,,,,,,
ENG-Premier League,2425,Bournemouth,Luis Sinisterra,COL,MF,25,2.6,1,1,2,0,0,13,6,4.96,2.29,4,2,1,7,1,1,,,,,1,,,,,,,,,,
