match_id,team,Date,baseline,goals_scored,rest,home_adv,form,opp_form,season_stage,travel,predicted
1939,Burnley,2021-09-13,0.880697731728931,1,0.08326834995921037,0.0,0.12100212708033202,-0.43494345272180296,0.0009312433004239048,0.05238281082503731,0.7033388101721315
1940,Newcastle,2021-09-17,0.880697731728931,1,0.06328394596899987,0.34261488630415415,0.47420428884723137,-0.36613069796869946,0.0013968649506358572,0.0,1.3960670198312528
1940,Leeds,2021-09-17,0.880697731728931,1,0.05859624626759248,0.0,0.6089103488862428,-0.285133513616507,0.0013968649506358572,0.05238281082503731,1.3168504890419326
1941,Aston Villa,2021-09-18,0.880697731728931,3,0.06711933663378775,0.34261488630415415,0.6775595072208702,-0.4731236758267083,0.0013968649506358572,0.0,1.4962646510116708
1941,Everton,2021-09-18,0.880697731728931,0,0.05859624626759248,0.0,0.7868498984442203,-0.40740863699863133,0.0013968649506358572,0.05238281082503731,1.3725149152177856
1942,Wolves,2021-09-18,0.880697731728931,0,0.06711933663378775,0.34261488630415415,0.16953682404142031,-0.22689110515090355,0.0013968649506358572,0.0,1.2344745385080258
1942,Brentford,2021-09-18,0.880697731728931,2,0.06711933663378775,0.0,0.3773415962199184,-0.10194051691060725,0.0013968649506358572,0.05238281082503731,1.276997823447703
1943,Burnley,2021-09-18,0.880697731728931,0,0.05859624626759248,0.34261488630415415,0.10301842649452302,-0.36685127948888807,0.0013968649506358572,0.0,1.0194728762569487
1943,Arsenal,2021-09-18,0.880697731728931,1,0.06711933663378775,0.0,0.6101087448341744,-0.061943779515436385,0.0013968649506358572,0.05238281082503731,1.54976170945713
1944,Liverpool,2021-09-18,0.880697731728931,3,0.06328394596899987,0.34261488630415415,1.1398265367957046,-0.2067609173973749,0.0013968649506358572,0.0,2.22105904835105
1944,Crystal Palace,2021-09-18,0.880697731728931,0,0.06711933663378775,0.0,0.34386316975594955,-0.6853644157035371,0.0013968649506358572,0.05238281082503731,0.6600954981908043
1945,Man City,2021-09-18,0.880697731728931,0,0.06711933663378775,0.34261488630415415,0.877800330185706,-0.1665802412136799,0.0013968649506358572,0.0,2.003048908589535
1945,Southampton,2021-09-18,0.880697731728931,0,0.06711933663378775,0.0,0.27703886442116304,-0.52781111070932,0.0013968649506358572,0.05238281082503731,0.7508244978502349
1946,Norwich,2021-09-18,0.880697731728931,1,0.06711933663378775,0.34261488630415415,0.0002599321975750241,-0.17202271408155076,0.0013968649506358572,0.0,1.1200660377335332
1946,Watford,2021-09-18,0.880697731728931,3,0.06711933663378775,0.0,0.2860902170424133,-0.0001562942017601692,0.0013968649506358572,0.05238281082503731,1.2875306669790452
1947,West Ham,2021-09-19,0.880697731728931,1,0.07031549552111097,0.34261488630415415,0.9786390807401819,-0.5690421287049051,0.0013968649506358572,0.0,1.7046219305401091
1947,Man United,2021-09-19,0.880697731728931,2,0.07031549552111097,0.0,0.9463714543550676,-0.5884442764788499,0.0013968649506358572,0.05238281082503731,1.3627200809019326
1948,Tottenham,2021-09-19,0.880697731728931,0,0.07031549552111097,0.34261488630415415,0.9880952166392176,-0.5021542457224109,0.0013968649506358572,0.0,1.7809659494216386
1948,Chelsea,2021-09-19,0.880697731728931,3,0.07031549552111097,0.0,0.835130511191611,-0.5941301408152558,0.0013968649506358572,0.00865181560173289,1.2020622781787658
1949,Brighton,2021-09-19,0.880697731728931,2,0.07031549552111097,0.34261488630415415,0.7522033868875644,-0.3065495588614938,0.0013968649506358572,0.0,1.7406788065309027
