PLAYER_NAME,USG_PCT,AST_PCT,REB_PCT,OREB_PCT,DREB_PCT,TS_PCT,E_TOV_PCT,PACE,MIN_TOTAL,GP,CLUSTER,ARCHETYPE,DIST_TO_CENTROID
Kevin Love,0.20033333333333334,0.156,0.17400000000000002,0.075,0.2776666666666667,0.551,8.866666666666667,102.47666666666667,1788.9,115,1,Rim Protector / Defensive Big,2.880051632161069
Kevin Porter Jr.,0.242,0.30600000000000005,0.08449999999999999,0.028,0.1355,0.5489999999999999,11.75,99.905,2746.6000000000004,113,2,Ball-Dominant Playmaker,1.4031192857496961
Kevon Looney,0.11033333333333334,0.14633333333333332,0.17366666666666666,0.129,0.221,0.5376666666666666,9.166666666666666,100.91666666666667,2638.0,171,4,Glass Anchor / Traditional Center,2.5834752312472755
Keyonte George,0.24533333333333332,0.26733333333333337,0.05433333333333334,0.010333333333333333,0.09833333333333333,0.5603333333333333,11.733333333333334,101.82666666666667,5922.9,196,2,Ball-Dominant Playmaker,1.6365358792991693
Khris Middleton,0.212,0.23133333333333336,0.078,0.024999999999999998,0.128,0.572,11.1,103.58,3765.0,155,0,Pass-First Guard,1.6695265842902214
Killian Hayes,0.157,0.269,0.05833333333333333,0.016,0.10366666666666667,0.48500000000000004,10.033333333333333,101.70666666666666,1575.4,71,0,Pass-First Guard,1.4236483233069803
Klay Thompson,0.22066666666666668,0.10333333333333333,0.052333333333333336,0.016,0.08800000000000001,0.5563333333333333,7.5,102.84333333333332,5749.8,218,3,3-and-D / Role Player,1.8348282320053069
Kobe Brown,0.13066666666666668,0.115,0.09766666666666667,0.06266666666666666,0.13333333333333333,0.5323333333333333,10.1,99.75333333333333,1631.8000000000002,145,3,3-and-D / Role Player,1.9028238660588865
Kobe Sanders,0.155,0.117,0.056,0.022,0.088,0.597,13.4,99.33,1353.1999999999998,68,3,3-and-D / Role Player,2.2767078825578286
Kon Knueppel,0.216,0.158,0.082,0.036,0.128,0.633,9.9,99.73,2551.5,81,2,Ball-Dominant Playmaker,1.993894108599104
Kris Dunn,0.12666666666666668,0.19399999999999998,0.06966666666666667,0.03266666666666667,0.10566666666666667,0.5526666666666666,11.4,99.96999999999998,5261.2,222,0,Pass-First Guard,1.540515427015077
Kris Murray,0.124,0.085,0.078,0.06166666666666667,0.09566666666666668,0.501,10.633333333333333,101.25999999999999,3721.0999999999995,188,3,3-and-D / Role Player,2.046193250454306
