PLAYER_NAME,PLAYER_POSITION,HEIGHT_IN,DRAFT_PICK
Al Bianchi,SG,75.0,48
Hank Biasatti,SG,71.0,61
Henry Bibby,SG,73.0,148
Mike Bibby,SG,74.0,2
Ed Biedenbach,SG,73.0,135
Andris Biedrins,C,84.0,11
Don Bielke,C,79.0,277
Bob Bigelow,SF,79.0,13
Chauncey Billups,SG,75.0,3
Dave Bing,SG,75.0,2
Joe Binion,SF,80.0,117
Khem Birch,C,80.0,61
Jabari Bird,SG,78.0,86
Jerry Bird,SF,78.0,61
Larry Bird,SF,81.0,6
Otis Birdsong,SG,75.0,2
Gale Bishop,SF,75.0,61
Goga Bitadze,PF,83.0,18
Onuralp Bitim,SF,78.0,61
Bismack Biyombo,C,80.0,7
Nemanja Bjelica,SF,81.0,65
Uwe Blab,C,85.0,17
Anthony Black,SG,79.0,6
Charlie Black,SF,76.0,61
Leaky Black,SF,78.0,61
Norman Black,SG,77.0,61
Tarik Black,PF,81.0,61
Tom Black,C,82.0,312
Rolando Blackman,SG,78.0,9
Alex Blackwell,SF,78.0,61
Cory Blackwell,SF,78.0,58
James Blackwell,SG,72.0,61
Nate Blackwell,SG,76.0,57
DeJuan Blair,PF,79.0,67
Steve Blake,SG,75.0,68
Marqus Blakely,SF,77.0,61
Antonio Blakeney,SG,76.0,61
Will Blalock,SG,72.0,90
George Blaney,SG,73.0,123
Lance Blanks,SG,76.0,26
Ricky Blanton,SF,79.0,76
Andray Blatche,PF,83.0,79
Mookie Blaylock,SG,73.0,12
Eric Bledsoe,SG,73.0,18
Keljin Blevins,SG,76.0,61
Leon Blevins,SG,74.0,61
John Block,SF,82.0,87
Mike Bloom,C,78.0,61
Jaron Blossomgame,SF,80.0,89
Corie Blount,PF,82.0,25
Mark Blount,PF,84.0,84
Vander Blue,SG,76.0,61
Trevon Bluiett,SG,78.0,61
Ray Blume,SG,76.0,66
Nelson Bobb,SG,72.0,61
Tony Bobbitt,SG,76.0,61
Arlen Bockhorn,SG,76.0,77
Buddy Boeheim,SF,77.0,61
Tom Boerwinkle,C,84.0,4
Keith Bogans,SG,77.0,73
Bojan Bogdanovic,SF,79.0,61
Bogdan Bogdanović,SG,77.0,27
Muggsy Bogues,SG,63.0,12
Andrew Bogut,C,84.0,1
Etdrick Bohannon,SF,81.0,61
Bol Bol,PF,87.0,74
Manute Bol,C,90.0,61
Jonah Bolden,SF,82.0,66
Marques Bolden,C,82.0,61
Bill Bolger,SF,77.0,61
Leandro Bolmaro,SF,78.0,23
Joel Bolomboy,SF,81.0,82
Doug Bolstorff,SG,76.0,267
George H. Bon Salle,SF,80.0,7
Adem Bona,SF,82.0,71
Phil Bond,SG,74.0,122
Walter Bond,SG,77.0,61
Jordan Bone,SG,75.0,87
Dexter Boney,SG,76.0,61
Isaac Bonga,SG,80.0,69
Ron Bonham,SF,76.0,46
Anthony Bonner,SF,80.0,23
Matt Bonner,PF,82.0,75
Devin Booker,SG,77.0,13
Melvin Booker,SG,74.0,61
